,precision,recall,f1-score,support
airplane,0.38020351526364476,0.411,0.39500240269101394,1000.0
automobile,0.4030944625407166,0.495,0.4443447037701975,1000.0
bird,0.26348228043143296,0.342,0.29765013054830286,1000.0
cat,0.27680798004987534,0.111,0.15845824411134904,1000.0
deer,0.26782077393075354,0.263,0.26538849646821394,1000.0
dog,0.3330078125,0.341,0.3369565217391305,1000.0
frog,0.2800387596899225,0.289,0.2844488188976378,1000.0
horse,0.45052386495925495,0.387,0.41635287789133946,1000.0
ship,0.4404040404040404,0.436,0.4381909547738693,1000.0
truck,0.42081447963800905,0.465,0.4418052256532066,1000.0
accuracy,0.354,0.354,0.354,0.354
macro avg,0.351619796940765,0.354,0.34785983765442613,10000.0
weighted avg,0.35161979694076506,0.354,0.34785983765442613,10000.0
